player_id nb_offensive_rebounds nb_defensive_rebounds dist_farthest_rebound
201148 0 7 7.87
203894 0 6 5.84
203504 0 2 9.57
201946 1 2 2.33
203918 0 7 4.05
203949 14 17 6.25
202738 4 5 12.84
202687 4 19 5.51
203926 3 6 6.4
201575 13 79 9.46
200782 1 6 8.31
203798 1 3 4.13
1718 1 4 13.06
203468 0 10 4.94
201976 1 6 11.73
203110 70 311 12.69
203923 2 7 12.13
1626143 7 14 3.21
202388 0 1 6.11
203123 1 5 4.51
2200 2 18 8.9
101141 3 5 9.84
201566 0 2 6.78
202083 1 9 7.26
201177 1 5 12.62
202066 1 7 10.69
202331 5 14 11.09
201936 1 5 11.69
201945 0 8 4.44
201956 4 17 8.74
203903 7 4 9.33
201166 0 3 10.4
1889 2 1 2.27
203994 3 3 7.9
203946 1 1 2.24
101111 0 4 5.06
2754 7 6 7.75
201160 1 6 3.07
201942 2 10 5.27
201588 1 6 5.92
1626245 0 1 0.4
2738 36 136 10.04
202697 6 37 11.76
200751 1 7 12.65
203124 1 3 4.37
1626178 4 9 8.11
201584 2 9 11.21
201565 0 2 2.47
202704 1 6 4.42
201567 91 301 11.2
202703 5 18 12.71
1626179 0 1 2.38
203991 3 7 10.62
200752 9 22 10.2
101133 0 9 2.92
200811 5 6 8.14
2772 0 7 8.56
202328 15 34 12.55
203210 7 13 1.81
203893 1 3 4.62
203919 0 2 7.43
201564 2 3 8.01
201155 0 1 1.32
203499 0 3 4.57
1626170 1 5 5.23
1626168 3 2 1.97
201933 4 12 6.81
201609 0 10 10.19
201147 1 0 2.65
2757 0 2 6.99
203944 6 18 8.9
2549 1 0 1.01
201586 3 4 10.69
201961 0 3 5.39
2037 2 8 13.7
201954 3 9 10.01
101179 2 3 7.54
203507 9 25 9.49
201596 0 1 4.13
203109 1 7 4.49
2760 16 49 10.39
202682 1 11 11.49
203080 3 6 6.65
1626162 0 1 1.21
203098 0 1 5.27
1626173 0 1 1.06
201949 1 2 1.68
201962 1 2 8.64
201939 28 174 12.84
1626151 0 1 2.05
203090 3 5 3.76
201577 4 10 11.88
201960 1 10 6.06
203552 1 2 8.37
2210 4 44 12.2
201196 0 2 3.69
203490 2 10 9.08
203082 0 8 6.25
203471 0 1 4.07
203486 5 18 11.61
203112 8 15 9.76
203917 1 6 9.42
203527 3 4 9.06
203473 1 9 5.24
201579 3 14 6.99
202323 4 13 6.22
201935 0 9 11.07
202391 0 7 10.18
204060 0 7 3.24
203458 5 11 5.96
2736 4 12 10.55
203481 1 3 1.58
203083 10 23 4.3
203530 3 4 4.05
202362 0 5 10.16
203508 0 2 2.3
203081 2 7 6.79
2405 3 2 4.47
203462 0 7 9.26
