player_ID speed_zone number_of_runs total_distance
708 slow 199 845.77
708 normal 201 1461.29
708 fast 8 27.1
977 slow 444 2424.65
977 normal 444 4171.52
977 fast 4 2.62
1713 slow 149 760.01
1713 normal 151 1313.43
1713 fast 5 15.19
1717 slow 499 2964.92
1717 normal 507 3722.18
1717 fast 35 105.63
1718 slow 447 2409.41
1718 normal 450 3371.97
1718 fast 19 59.63
1889 slow 195 999.83
1889 normal 198 1479.46
1889 fast 8 32.92
1891 slow 141 784.99
1891 normal 143 1239.51
1891 fast 11 37.95
1897 slow 338 1528.08
1897 normal 343 2623.34
1897 fast 9 37.16
2034 slow 312 1284.03
2034 normal 322 2471.84
2034 fast 21 45.22
2037 slow 524 2888.41
2037 normal 532 4126.35
2037 fast 22 88.34
2199 slow 404 2202.77
2199 normal 417 3141.88
2199 fast 27 73.53
2200 slow 723 3642.14
2200 normal 732 6188.64
2200 fast 29 74.82
2207 slow 850 4736.61
2207 normal 860 7927.65
2207 fast 35 125.57
2210 slow 5572 28792.86
2210 normal 5662 54449.46
2210 fast 298 1157.09
2216 slow 661 4113.36
2216 normal 658 5188.74
2216 fast 26 109.34
2403 slow 123 527.4
2403 normal 128 941.57
2403 fast 12 22.73
2405 slow 132 773.05
2405 normal 131 1119.05
2405 fast 9 44.71
2406 slow 61 228.01
2406 normal 61 432.37
2406 fast 3 8.38
2419 slow 311 1454.87
2419 normal 315 2641.57
2419 fast 14 61.1
2440 slow 626 3050.8
2440 normal 627 6536.95
2440 fast 19 87.01
2449 slow 926 4449.33
2449 normal 948 7332.3
2449 fast 55 162.97
2544 slow 10278 60282.65
2544 normal 10329 85451.5
2544 fast 584 2117.07
2546 slow 567 3341.2
2546 normal 572 4397.24
2546 fast 28 118.67
2547 slow 891 4729.32
2547 normal 900 7247.85
2547 fast 46 144.7
2548 slow 751 4359.58
2548 normal 762 7035.84
2548 fast 33 119.93
2549 slow 48 339.53
2549 normal 50 387.6
2549 fast 3 10.42
2550 slow 364 1451.44
2550 normal 366 3135.09
2550 fast 15 48.11
2555 slow 49 291.08
2555 normal 53 359.95
2555 fast 5 18.59
2570 slow 204 847.82
2570 normal 206 1386.78
2570 fast 6 19.44
2571 slow 3988 17708.07
2571 normal 4001 36155.14
2571 fast 146 537.51
2581 slow 206 729.76
2581 normal 206 1659.91
2581 fast 11 34.76
2585 slow 470 2417.81
2585 normal 473 3753.89
2585 fast 21 53.2
2590 slow 5204 24797.81
2590 normal 5239 42027.51
2590 fast 333 1029.26
2592 slow 2678 13242.6
2592 normal 2763 22095.24
2592 fast 210 647.99
2594 slow 225 1064.89
2594 normal 224 1969.55
2594 fast 7 16.19
2617 slow 244 1373.88
2617 normal 251 1706.5
2617 fast 17 70.19
2730 slow 523 3184.32
2730 normal 531 4292.81
2730 fast 28 101.24
2733 slow 7137 34946.42
2733 normal 7213 63803.44
2733 fast 388 1280.41
2734 slow 301 1648.65
2734 normal 304 2784.14
2734 fast 15 45.96
2736 slow 542 2556.22
2736 normal 547 5075.96
2736 fast 37 156.96
2738 slow 10329 53112.28
2738 normal 10370 91179.54
2738 fast 519 1853.98
2743 slow 81 321.19
2743 normal 81 684.78
2743 fast 8 36.25
2744 slow 209 1364.98
2744 normal 216 2043.51
2744 fast 12 39.23
2746 slow 283 1374.86
2746 normal 295 2338.13
2746 fast 17 39.81
2747 slow 8044 43150.05
2747 normal 8136 69302.96
2747 fast 423 1308.43
2749 slow 1403 6108.82
2749 normal 1419 11197.86
2749 fast 80 296.05
2754 slow 539 2903.55
2754 normal 545 4693.74
2754 fast 10 29.16
2755 slow 362 1819.08
2755 normal 365 3273.47
2755 fast 21 130.88
2756 slow 164 702.35
2756 normal 169 1820.99
2756 fast 9 32.61
2757 slow 352 1446.41
2757 normal 361 3085.27
2757 fast 16 52.3
2760 slow 2215 9904.04
2760 normal 2279 17271.12
2760 fast 155 495.1
2772 slow 587 3171.35
2772 normal 588 4829.35
2772 fast 29 82.27
101106 slow 6109 35654.75
101106 normal 6153 48460.51
101106 fast 304 966.96
101107 slow 865 4166.25
101107 normal 868 7377.17
101107 fast 41 149.79
101108 slow 628 2848.0
101108 normal 637 4732.79
101108 fast 43 145.37
101109 slow 337 1517.2
101109 normal 337 2614.17
101109 fast 13 26.59
101111 slow 102 537.22
101111 normal 106 956.82
101111 fast 3 8.09
101112 slow 276 1348.58
101112 normal 280 2035.12
101112 fast 20 76.12
101114 slow 354 1757.0
101114 normal 361 2942.43
101114 fast 16 39.58
101123 slow 692 3232.93
101123 normal 701 6500.1
101123 fast 36 90.25
101126 slow 225 804.88
101126 normal 231 1540.28
101126 fast 22 78.92
101127 slow 781 3225.76
101127 normal 785 6658.32
101127 fast 37 139.19
101133 slow 427 1922.02
101133 normal 430 3275.86
101133 fast 22 55.17
101135 slow 300 1646.85
101135 normal 302 2467.35
101135 fast 11 31.96
101138 slow 321 1397.65
101138 normal 320 2324.31
101138 fast 7 29.31
101139 slow 502 2821.43
101139 normal 499 4508.73
101139 fast 33 117.05
101141 slow 448 2193.65
101141 normal 448 3668.25
101141 fast 19 54.15
101145 slow 892 4344.99
101145 normal 907 7813.16
101145 fast 50 143.39
101150 slow 659 3500.21
101150 normal 661 5752.85
101150 fast 22 64.18
101161 slow 396 2032.6
101161 normal 403 2971.26
101161 fast 24 98.87
101162 slow 614 2642.65
101162 normal 614 4722.87
101162 fast 36 147.43
101179 slow 420 1554.07
101179 normal 427 3863.66
101179 fast 29 88.49
101181 slow 782 3391.11
101181 normal 787 6177.13
101181 fast 41 112.21
200745 slow 200 916.0
200745 normal 197 1250.86
200745 fast 12 37.79
200751 slow 737 3692.76
200751 normal 741 6613.59
200751 fast 33 131.83
200752 slow 1338 5786.8
200752 normal 1341 11016.27
200752 fast 59 242.7
200755 slow 298 1433.93
200755 normal 296 2736.52
200755 fast 3 10.97
200757 slow 231 1003.77
200757 normal 234 2124.1
200757 fast 21 55.67
200765 slow 1189 5041.91
200765 normal 1199 8968.47
200765 fast 54 200.12
200768 slow 1444 6789.0
200768 normal 1458 10546.23
200768 fast 84 233.18
200782 slow 616 3405.9
200782 normal 623 5652.03
200782 fast 28 108.16
200794 slow 228 1160.65
200794 normal 233 2082.81
200794 fast 20 77.13
200811 slow 272 1407.93
200811 normal 279 2115.9
200811 fast 24 64.01
200826 slow 370 1618.87
200826 normal 379 3142.69
200826 fast 27 93.93
201142 slow 280 1762.8
201142 normal 277 1971.14
201142 fast 13 35.8
201143 slow 204 1201.89
201143 normal 214 1834.05
201143 fast 19 71.66
201144 slow 869 3642.17
201144 normal 876 7717.26
201144 fast 33 107.52
201145 slow 538 2716.5
201145 normal 542 4574.94
201145 fast 19 81.75
201147 slow 230 1081.89
201147 normal 234 2359.46
201147 fast 13 43.69
201148 slow 358 1820.05
201148 normal 363 2824.24
201148 fast 16 40.22
201149 slow 399 1579.77
201149 normal 409 2905.13
201149 fast 20 59.95
201150 slow 441 2213.72
201150 normal 443 3547.14
201150 fast 20 60.06
201152 slow 865 3860.36
201152 normal 884 7825.73
201152 fast 42 151.19
201155 slow 180 1012.44
201155 normal 184 1449.02
201155 fast 7 27.29
201156 slow 379 1626.95
201156 normal 378 3151.61
201156 fast 11 38.52
201158 slow 1176 4872.83
201158 normal 1181 9897.99
201158 fast 43 160.03
201160 slow 419 2009.77
201160 normal 432 3461.44
201160 fast 24 73.81
201162 slow 618 2686.64
201162 normal 629 4741.01
201162 fast 38 121.57
201166 slow 250 1068.21
201166 normal 252 2311.74
201166 fast 19 35.31
201167 slow 565 2840.94
201167 normal 567 5118.16
201167 fast 26 89.05
201168 slow 56 333.42
201168 normal 57 607.91
201168 fast 1 0.68
201171 slow 79 408.33
201171 normal 82 564.32
201171 fast 9 31.1
201177 slow 322 1536.33
201177 normal 319 2387.78
201177 fast 22 87.2
201188 slow 766 4857.22
201188 normal 764 5830.52
201188 fast 37 160.08
201196 slow 252 1269.31
201196 normal 256 2003.05
201196 fast 26 90.83
201229 slow 344 1448.81
201229 normal 346 2745.5
201229 fast 12 30.17
201564 slow 612 2886.06
201564 normal 622 4800.79
201564 fast 35 108.99
201565 slow 555 2552.45
201565 normal 560 4995.3
201565 fast 29 98.87
201566 slow 276 1356.5
201566 normal 278 1864.43
201566 fast 22 54.53
201567 slow 10601 53519.73
201567 normal 10719 81992.1
201567 fast 597 1963.52
201568 slow 1378 7371.22
201568 normal 1381 10874.38
201568 fast 52 193.44
201569 slow 822 3973.67
201569 normal 830 7586.86
201569 fast 23 55.7
201571 slow 97 585.31
201571 normal 99 766.99
201571 fast 9 21.58
201572 slow 977 4386.75
201572 normal 990 6851.26
201572 fast 43 179.92
201573 slow 511 2721.86
201573 normal 518 4116.97
201573 fast 38 93.44
201574 slow 1335 6085.61
201574 normal 1369 10836.48
201574 fast 88 294.26
201575 slow 4902 24152.23
201575 normal 4932 48485.86
201575 fast 182 650.85
201577 slow 629 2971.39
201577 normal 641 5207.94
201577 fast 37 140.94
201578 slow 3225 17158.99
201578 normal 3256 24377.19
201578 fast 188 660.96
201579 slow 602 3144.71
201579 normal 602 5269.5
201579 fast 22 74.99
201580 slow 175 812.52
201580 normal 185 1692.78
201580 fast 13 31.2
201581 slow 176 814.14
201581 normal 177 1294.06
201581 fast 14 38.21
201582 slow 243 1158.67
201582 normal 245 1817.78
201582 fast 19 63.81
201583 slow 919 4362.01
201583 normal 941 6585.12
201583 fast 53 172.54
201584 slow 807 4046.82
201584 normal 809 7336.6
201584 fast 23 103.8
201585 slow 658 2803.57
201585 normal 657 5233.1
201585 fast 33 141.48
201586 slow 283 1586.82
201586 normal 278 2010.04
201586 fast 18 68.2
201587 slow 596 3082.91
201587 normal 612 5978.54
201587 fast 24 105.11
201588 slow 641 2940.23
201588 normal 651 5416.72
201588 fast 44 132.62
201589 slow 994 4969.09
201589 normal 1006 8590.87
201589 fast 55 223.82
201593 slow 138 596.17
201593 normal 138 856.51
201593 fast 9 42.39
201596 slow 132 574.57
201596 normal 133 1044.52
201596 fast 9 24.98
